bin_start,bin_end,count,ratio
0.0,0.02,13262,0.08809384631735573
0.02,0.04,8372,0.055611648421723885
0.04,0.06,5601,0.03720506961419917
0.06,0.08,4343,0.028848708683175683
0.08,0.1,3612,0.023992985439472845
0.1,0.12,3204,0.02128281432670847
0.12,0.14,2988,0.019848017855244978
0.14,0.16,2746,0.018240514401105325
0.16,0.18,2271,0.015085290679136996
0.18,0.2,2120,0.014082261664363906
0.2,0.22,1912,0.012700605802954618
0.22,0.24,1879,0.012481400786481028
0.24,0.26,1685,0.011192740992666596
0.26,0.28,1557,0.01034249123179934
0.28,0.3,1407,0.009346104793283027
0.3,0.32,1454,0.009658305877351472
0.32,0.34,1380,0.00916675523435009
0.34,0.36,1225,0.0081371559145499
0.36,0.38,1208,0.008024232118184716
0.38,0.4,1186,0.007878095440535658
0.4,0.42,1059,0.007034488255925178
0.42,0.44,1130,0.007506111170156233
0.44,0.46,1066,0.007080986289722606
0.46,0.48,1054,0.007001275374641301
0.48,0.5,1009,0.006702359443086407
0.5,0.52,1037,0.006888351578276119
0.52,0.54,964,0.0064034435115315124
0.54,0.56,949,0.006303804867679881
0.56,0.58,930,0.006177595918801148
0.58,0.6,939,0.006237379105112127
0.6,0.62,979,0.006503082155383144
0.62,0.64,938,0.006230736528855352
0.64,0.66,979,0.006503082155383144
0.66,0.68,981,0.006516367307896695
0.68,0.7000000000000001,1035,0.0068750664257625676
0.7000000000000001,0.72,1067,0.007087628865979381
0.72,0.74,1164,0.007731958762886598
0.74,0.76,1095,0.0072736210011690935
0.76,0.78,1164,0.007731958762886598
0.78,0.8,1146,0.00761239239026464
0.8,0.8200000000000001,1295,0.008602136252524178
0.8200000000000001,0.84,1316,0.008741630353916462
0.84,0.86,1402,0.00931289191199915
0.86,0.88,1578,0.010481985333191625
0.88,0.9,1806,0.011996492719736422
0.9,0.92,2153,0.014301466680837496
0.92,0.9400000000000001,2768,0.018386651078754385
0.9400000000000001,0.96,3624,0.02407269635455415
0.96,0.98,6126,0.04069242214900627
0.98,1.0,44379,0.29479089169943673
