grid_id,row,column,x,y,z,sionna_rssi_dbm,path_gain_linear
grid-r000-c000,0,0,0.19999980926513672,0.20000028610229492,0.44999998807907104,-39.064399454657284,1.2403951359374332e-06
grid-r000-c001,0,1,0.40000009536743164,0.20000028610229492,0.44999998807907104,-38.303721856024346,1.4778413515159627e-06
grid-r000-c002,0,2,0.5999999046325684,0.20000028610229492,0.44999998807907104,-38.271119509871795,1.4889772046444705e-06
grid-r000-c003,0,3,0.7999997138977051,0.20000028610229492,0.44999998807907104,-37.77904019545221,1.667615720180038e-06
grid-r000-c004,0,4,1.0,0.20000028610229492,0.44999998807907104,-37.46649753282227,1.7920505115398555e-06
grid-r000-c005,0,5,1.1999998092651367,0.20000028610229492,0.44999998807907104,-37.138941348305806,1.9324393178976607e-06
grid-r000-c006,0,6,1.4000000953674316,0.20000028610229492,0.44999998807907104,-36.575017089954656,2.200383050876553e-06
grid-r000-c007,0,7,1.5999999046325684,0.20000028610229492,0.44999998807907104,-35.519509931638034,2.805750227707904e-06
grid-r000-c008,0,8,1.799999713897705,0.20000028610229492,0.44999998807907104,-34.61426315977458,3.455999603829696e-06
grid-r000-c009,0,9,2.0,0.20000028610229492,0.44999998807907104,-32.909277352111665,5.117669843457406e-06
grid-r000-c010,0,10,2.200000047683716,0.20000028610229492,0.44999998807907104,-31.335585870561516,7.352608008659445e-06
grid-r000-c011,0,11,2.3999998569488525,0.20000028610229492,0.44999998807907104,-29.5951554913134,1.0977019883284811e-05
grid-r000-c012,0,12,2.5999999046325684,0.20000028610229492,0.44999998807907104,-28.178011389914502,1.5212439393508248e-05
grid-r000-c013,0,13,2.799999952316284,0.20000028610229492,0.44999998807907104,-27.174431239437943,1.9167120626661927e-05
grid-r000-c014,0,14,3.0,0.20000028610229492,0.44999998807907104,-26.67459038827394,2.150507498299703e-05
grid-r000-c015,0,15,3.200000047683716,0.20000028610229492,0.44999998807907104,-26.577140392434437,2.1993075279169716e-05
grid-r000-c016,0,16,3.3999998569488525,0.20000028610229492,0.44999998807907104,-26.574717230545687,2.2005349819664843e-05
grid-r000-c017,0,17,3.5999999046325684,0.20000028610229492,0.44999998807907104,-26.948565553729992,2.0190331269986928e-05
grid-r000-c018,0,18,3.799999952316284,0.20000028610229492,0.44999998807907104,-27.978221683225044,1.5928608263493516e-05
grid-r000-c019,0,19,4.0,0.20000028610229492,0.44999998807907104,-29.55501873528221,1.1078937859565485e-05
grid-r000-c020,0,20,4.199999809265137,0.20000028610229492,0.44999998807907104,-31.303351056422564,7.407384600810474e-06
grid-r000-c021,0,21,4.400000095367432,0.20000028610229492,0.44999998807907104,-33.23103100522009,4.7522239583486225e-06
grid-r000-c022,0,22,4.599999904632568,0.20000028610229492,0.44999998807907104,-35.47779804137466,2.832827931342763e-06
grid-r000-c023,0,23,4.800000190734863,0.20000028610229492,0.44999998807907104,-37.41618635441726,1.8129313730241847e-06
grid-r000-c024,0,24,5.0,0.20000028610229492,0.44999998807907104,-38.69170386402232,1.3515422097043484e-06
grid-r000-c025,0,25,5.199999809265137,0.20000028610229492,0.44999998807907104,-39.05056747636027,1.244352006324334e-06
grid-r000-c026,0,26,5.400000095367432,0.20000028610229492,0.44999998807907104,-38.50252986838461,1.4117149476078339e-06
grid-r000-c027,0,27,5.599999904632568,0.20000028610229492,0.44999998807907104,-37.78484235936599,1.6653892771500978e-06
grid-r000-c028,0,28,5.800000190734863,0.20000028610229492,0.44999998807907104,-37.66459881645054,1.7121433302236255e-06
grid-r000-c029,0,29,6.0,0.20000028610229492,0.44999998807907104,-37.76681126549296,1.6723180351618794e-06
grid-r000-c030,0,30,6.199999809265137,0.20000028610229492,0.44999998807907104,-37.570307916706454,1.7497226281193434e-06
grid-r000-c031,0,31,6.400000095367432,0.20000028610229492,0.44999998807907104,-37.62086253276309,1.729472842271207e-06
grid-r000-c032,0,32,6.599999904632568,0.20000028610229492,0.44999998807907104,-37.34911060169964,1.8411490145808784e-06
grid-r000-c033,0,33,6.800000190734863,0.20000028610229492,0.44999998807907104,-37.12322547960455,1.939444928211742e-06
grid-r000-c034,0,34,7.0,0.20000028610229492,0.44999998807907104,-37.41526866198856,1.8133144976673066e-06
grid-r000-c035,0,35,7.199999809265137,0.20000028610229492,0.44999998807907104,-37.61130081036971,1.7332847619400127e-06
