experiment_id,session_id,point_id,point_role,node_id,timestamp,server_ts_ms,seq,rssi_raw_dbm,rssi_filtered_dbm,sample_count,error_flags,device_offset_db,pos_x,pos_y,pos_z,ap_bssid,ap_channel,valid,invalid_reason
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811440218,1784811439806,1495,-49.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811440666,1784811440255,1598,-50.0,-47.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811440682,1784811440269,2225,-48.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811441227,1784811440840,1496,-49.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811441604,1784811441203,2226,-48.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811441724,1784811441312,1599,-51.0,-48.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811442231,1784811441820,1497,-47.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811442618,1784811442206,2227,-48.0,-49.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811442849,1784811442446,1600,-45.0,-48.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811443243,1784811442831,1498,-47.0,-47.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811443631,1784811443220,2228,-45.0,-47.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811443965,1784811443576,1601,-45.0,-47.0,,0,-2.0,,,,,,1,
