experiment_id,session_id,point_id,point_role,node_id,timestamp,server_ts_ms,seq,rssi_raw_dbm,rssi_filtered_dbm,sample_count,error_flags,device_offset_db,pos_x,pos_y,pos_z,ap_bssid,ap_channel,valid,invalid_reason
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-03,1784811566756,1784811566345,26,-51.0,-51.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-01,1784811567181,1784811566770,1621,-48.0,-47.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,gw-01,1784811567509,1784811567100,1712,-43.0,-46.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-03,1784811567763,1784811567353,27,-52.0,-50.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-01,1784811568191,1784811567781,1622,-48.0,-47.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,gw-01,1784811568620,1784811568210,1713,-48.0,-46.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-03,1784811568775,1784811568362,28,-48.0,-50.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-01,1784811569195,1784811568789,1623,-48.0,-47.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,gw-01,1784811569785,1784811569373,1714,-41.0,-45.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-03,1784811569801,1784811569392,29,-49.0,-50.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-01,1784811570204,1784811569794,1624,-45.0,-47.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-03,1784811570781,1784811570371,30,-49.0,-49.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,gw-01,1784811570839,1784811570428,1715,-44.0,-44.0,,0,-2.0,,,,,,1,
