obstacle_id,vertex_index,scene_x,scene_y,scene_z,metric_x_m,metric_y_m,metric_z_m
desk_mid_01,0,0.7847373867736591,0.6866256735258487,2.072288432344939,9.566771551703463,3.0976872113363347,0.2596819919905323
desk_mid_01,1,0.5562135959535555,0.7156913019346636,1.857883490972716,9.575497754922104,3.5976110589145307,0.2596819919905323
desk_mid_01,2,2.370736191537535,1.019663301358434,0.05168067265279197,5.576106974296539,3.667420684663665,0.2596819919905323
desk_mid_01,3,2.5992599823576388,0.9905976729496191,0.2660856140250143,5.567380771077897,3.1674968370854693,0.2596819919905323
desk_mid_01,4,0.7907694646475898,0.5111263280621416,2.0631950533535806,9.566771551703463,3.0976872113363347,0.5296819919905323
desk_mid_01,5,0.5622456738274861,0.5401919564709565,1.8487901119813577,9.575497754922104,3.5976110589145307,0.5296819919905323
desk_mid_01,6,2.376768269411466,0.8441639558947268,0.04258729366143377,5.576106974296539,3.667420684663665,0.5296819919905323
desk_mid_01,7,2.6052920602315695,0.8150983274859119,0.2569922350336562,5.567380771077897,3.1674968370854693,0.5296819919905323
desk_mid_02,0,0.2029749532300693,0.7052285998476323,1.5016351655369125,9.566771551703463,4.397687211336335,0.34995976976831006
desk_mid_02,1,-0.025548837590034346,0.7342942282564472,1.2872302241646896,9.575497754922104,4.8976110589145305,0.34995976976831006
desk_mid_02,2,1.7889737579939462,1.0382662276802175,-0.5189725941552342,5.576106974296539,4.967420684663665,0.34995976976831006
desk_mid_02,3,2.01749754881405,1.0092005992714026,-0.3045676527830119,5.567380771077897,4.467496837085469,0.34995976976831006
desk_mid_02,4,0.21101772372864414,0.47122947256268943,1.4895106602151018,9.566771551703463,4.397687211336335,0.70995976976831
desk_mid_02,5,-0.01750606709145952,0.5002951009715043,1.275105718842879,9.575497754922104,4.8976110589145305,0.70995976976831
desk_mid_02,6,1.797016528492521,0.8042671003952747,-0.5310970994770451,5.576106974296539,4.967420684663665,0.70995976976831
desk_mid_02,7,2.0255403193126247,0.7752014719864597,-0.31669215810482276,5.567380771077897,4.467496837085469,0.70995976976831
desk_mid_03,0,-0.43609732762742137,0.7051248565275718,1.0764680282927863,9.791737283113651,5.593760419887946,0.43356579695222597
desk_mid_03,1,-0.6646211184475233,0.7341904849363867,0.8620630869205639,9.800463486332292,6.093684267466141,0.43356579695222597
desk_mid_03,2,1.3540352691396542,1.0723593342953313,-1.147337548460351,5.35114124288635,6.171347476112054,0.43356579695222597
desk_mid_03,3,1.582559059959757,1.0432937058865164,-0.9329326070881291,5.342415039667708,5.671423628533859,0.43356579695222597
desk_mid_03,4,-0.4262672747958298,0.4191259231793084,1.0616491884550177,9.791737283113651,5.593760419887946,0.8735657969522259
desk_mid_03,5,-0.6547910656159317,0.4481915515881234,0.8472442470827952,9.800463486332292,6.093684267466141,0.8735657969522259
desk_mid_03,6,1.3638653219712458,0.7863604009470678,-1.1621563882981198,5.35114124288635,6.171347476112054,0.8735657969522259
desk_mid_03,7,1.5923891127913485,0.757294772538253,-0.9477514469258979,5.342415039667708,5.671423628533859,0.8735657969522259
desk_mid_04,0,-1.1205299657028363,0.6973430352922232,0.696451879681915,10.116687784039478,6.788088387795829,0.5172930214030673
desk_mid_04,1,-1.3490537565229381,0.7264086637010381,0.4820469383096926,10.125413987258119,7.288012235374024,0.5172930214030673
