object_id,vertex_index,x,y,z,coordinate_space
desk_right_05,1,-3.171970139,0.359094365,2.320807167,scene
desk_right_05,2,-2.703624295,0.629495231,0.595248097,scene
desk_right_05,3,-2.392309225,0.623321908,0.668040547,scene
desk_right_05,4,-2.847027041,-0.043577479,2.373055316,scene
desk_right_05,5,-3.158342112,-0.037404156,2.300262866,scene
desk_right_05,6,-2.689996268,0.232996710,0.574703796,scene
desk_right_05,7,-2.378681197,0.226823387,0.647496246,scene
desk_right_06,0,-3.480965372,0.404311637,1.633625025,scene
desk_right_06,1,-3.792280443,0.410484960,1.560832576,scene
desk_right_06,2,-3.438966911,0.614471578,0.259095032,scene
desk_right_06,3,-3.127651841,0.608298255,0.331887482,scene
desk_right_06,4,-3.465103241,-0.057186642,1.609712807,scene
desk_right_06,5,-3.776418312,-0.051013319,1.536920357,scene
desk_right_06,6,-3.423104780,0.152973299,0.235182813,scene
desk_right_06,7,-3.111789710,0.146799976,0.307975263,scene
desk_left_01,0,2.821644468,1.048735810,-0.133387679,scene
desk_left_01,1,2.753520770,1.093806674,-0.436168862,scene
desk_left_01,2,3.980797394,1.156348129,-0.719222448,scene
desk_left_01,3,4.048921092,1.111277265,-0.416441265,scene
desk_left_01,4,2.827006315,0.892736392,-0.141470682,scene
desk_left_01,5,2.758882617,0.937807256,-0.444251866,scene
desk_left_01,6,3.986159241,1.000348710,-0.727305452,scene
desk_left_01,7,4.054282939,0.955277846,-0.424524268,scene
desk_left_02,0,2.423408813,1.088395304,-0.797196240,scene
desk_left_02,1,2.344344220,1.132879055,-1.097260048,scene
desk_left_02,2,4.373105582,1.247275493,-1.637413565,scene
desk_left_02,3,4.452170175,1.202791742,-1.337349757,scene
desk_left_02,4,2.430781352,0.873896104,-0.808310370,scene
desk_left_02,5,2.351716759,0.918379855,-1.108374178,scene
desk_left_02,6,4.380478122,1.032776293,-1.648527695,scene
desk_left_02,7,4.459542715,0.988292542,-1.348463887,scene
desk_left_03,0,2.004512780,1.132017976,-1.510191129,scene
desk_left_03,1,1.925448187,1.176501727,-1.810254937,scene
