point_id,node_id,x,y,z,measured_rssi_dbm,raw_sionna_rssi_dbm,raw_sionna_abs_error_db,plain_idw_rssi_dbm,plain_idw_abs_error_db,residual_idw_rssi_dbm,residual_idw_abs_error_db
test-00,node-02,1.2000000000000002,1.4000000000000001,1.0184397979548492,-38.0,-34.466593614109,3.5334063858909985,-47.24573742848354,9.245737428483537,-47.83736004241241,9.837360042412413
test-01,node-02,5.0,1.4,1.0184397979548492,-43.0,-33.370548869690005,9.629451130309995,-47.22788833570729,4.227888335707291,-47.08078304612771,4.0807830461277135
test-02,node-02,7.5,1.4,1.0184397979548492,-39.5,-32.247495935536634,7.252504064463366,-48.243216480926,8.743216480926002,-46.42756793275519,6.9275679327551885
test-04,node-02,12.5,1.4,1.0184397979548492,-40.0,-34.86542461302821,5.13457538697179,-49.74291993501114,9.742919935011138,-51.32013014797826,11.320130147978261
test-05,node-02,1.2000000000000002,6.6,1.5184397979548492,-43.0,-33.41576003783358,9.584239962166421,-47.33893332587874,4.338933325878742,-44.9929209711215,1.9929209711214995
test-06,node-02,5.0,6.6,1.5184397979548492,-36.0,-27.858102701617838,8.141897298382162,-47.36068517218189,11.360685172181888,-37.82911891253902,1.8291189125390233
test-07,node-02,7.5,6.6,1.5184397979548492,-36.0,-19.51861058806149,16.48138941193851,-47.5534942997746,11.553494299774599,-28.063066515786012,7.936933484213988
test-08,node-02,10.0,6.6,1.5184397979548492,-42.0,-26.804053254812402,15.195946745187598,-48.267879831680865,6.267879831680865,-37.75996013660802,4.240039863391978
test-09,node-02,12.5,6.6,1.5184397979548492,-45.0,-31.37961163574016,13.620388364259838,-48.84045714285427,3.8404571428542695,-44.55801185617705,0.4419881438229467
test-10,node-02,1.2000000000000002,10.35,1.5184397979548492,-46.0,-47.761417021388795,1.7614170213887945,-47.399316651512265,1.3993166515122653,-56.93492718485146,10.93492718485146
test-11,node-02,5.0,10.35,1.5184397979548492,-43.0,-46.51400689922352,3.514006899223517,-47.17510034018152,4.1751003401815225,-52.43681098046627,9.43681098046627
test-12,node-02,7.5,10.35,1.5184397979548492,-43.0,-44.5893526864248,1.589352686424803,-47.02698443970747,4.026984439707469,-49.00284944223078,6.002849442230783
test-13,node-02,10.0,10.35,1.5184397979548492,-41.0,-45.49262172406026,4.492621724060257,-47.310588022350025,6.310588022350025,-51.663472451152295,10.663472451152295
