power,method,calibration_loo_mae_db,calibration_loo_rmse_db
1.0,plain_idw,1.996522821542624,2.1189084331943406
1.0,residual_idw,7.470054998849368,8.171806479319478
2.0,plain_idw,1.9930483183805638,2.1165922126531718
2.0,residual_idw,7.40979607264731,8.119772934809475
3.0,plain_idw,1.9895791606766338,2.1143736816531837
3.0,residual_idw,7.349619084337647,8.068087918450479
