idw_power,node02_offset_db,raw_sionna_mae_db,raw_sionna_rmse_db,plain_idw_mae_db,plain_idw_rmse_db,residual_idw_mae_db,residual_idw_rmse_db,residual_minus_plain_mae_db,residual_minus_plain_rmse_db
2,-4.0,10.01551106666106,12.071204834194946,2.981050293655119,4.035432074841511,5.0769863719802135,5.956009536544471,2.0959360783250944,1.92057746170296
2,-3.75,9.803972605122599,11.866196719864996,3.168043700248084,4.198262984228857,5.134678679672522,5.988313199008265,1.966634979424438,1.7900502147794075
2,-3.5,9.594589051156987,11.66294401255438,3.379582161786545,4.369337723137536,5.192370987364829,6.030815893345156,1.8127888255782842,1.6614781702076193
2,-3.25,9.421512128080064,11.461540100938505,3.591120623325007,4.547726046379579,5.250063295057137,6.0833038481924,1.65894267173213,1.5355778018128206
2,-3.0,9.24843520500314,11.262084173494033,3.8026590848634685,4.732601002303676,5.307755602749444,6.145521221136607,1.5050965178859759,1.412920218832931
2,-2.75,9.075358281926217,11.064681575911171,4.01419754640193,4.9232318959289625,5.365447910441753,6.217175922349978,1.3512503640398226,1.2939440264210154
2,-2.5,8.902281358849296,10.869444181822335,4.225736007940392,5.118975713478118,5.42314021813406,6.29794584126096,1.1974042101936684,1.1789701277828417
2,-2.25,8.729204435772372,10.676490774931375,4.437274469478853,5.319268033222742,5.480832525826368,6.387485200723688,1.043558056347515,1.0682171675009462
2,-2.0,8.556127512695449,10.485947439913957,4.648812931017314,5.523614076250427,5.538524833518675,6.485430792127233,0.8897119025013609,0.9618167158768065
2,-1.75,8.384807054447574,10.297947958602307,4.860351392555776,5.731580280990435,5.645761738697217,6.591407886747716,0.7854103461414415,0.8598276057572818
2,-1.5,8.263938236974466,10.112634206947504,5.071889854094238,5.94278659986415,5.7803771233126024,6.705035667279326,0.7084872692183648,0.7622490674151754
2,-1.25,8.16778439082062,9.930156547052425,5.306400108173047,6.156899595219287,5.914992507927987,6.825932073313933,0.6085923997549392,0.6690324780946453
2,-1.0,8.071630544666773,9.750674207172109,5.556400108173049,6.373626336686043,6.049607892543372,6.953718001149008,0.4932077843703224,0.580091664462965
2,-0.75,7.975476698512927,9.574355640974215,5.806400108173049,6.5927090587849,6.184223277158756,7.088020838676455,0.37782316898570656,0.49531177989155495
2,-0.5,7.879322852359081,9.401378855534869,6.056400108173049,6.813920515229907,6.318838661774141,7.228477348620497,0.2624385536010916,0.4145568333905896
2,-0.25,7.783169006205235,9.23193169551971,6.306400108173049,7.037059957251858,6.453454046389525,7.374735937613464,0.14705393821647572,0.3376759803616052
2,0.0,7.687015160051389,9.06621206878511,6.556400108173049,7.261949662180538,6.58806943100491,7.5264583649639265,0.03166932283186075,0.2645087027833881
2,0.25,7.590861313897543,8.904428096269188,6.806400108173049,7.488431942010996,6.722684815620294,7.683320954479473,-0.08371529255275512,0.19488901246847767
2,0.5,7.494707467743696,8.74679816659053,7.056400108173049,7.7163665675120106,6.866225101185994,7.845015376629373,-0.19017500698705536,0.12864880911736254
2,0.75,7.39855362158985,8.593550873330232,7.306400108173049,7.945628550234626,7.039302024262917,8.011249068001769,-0.267098083910132,0.06562051776714295
2,1.0,7.302399775436005,8.444924810675232,7.556400108173049,8.176106231721194,7.21237894733984,8.181745351669601,-0.34402116083320955,0.005639119948407156
2,1.25,7.206245929282158,8.301168201126963,7.806400108173049,8.407699635838371,7.385455870416763,8.356243316800622,-0.4209442377562862,-0.051456319037749054
2,1.5,7.110092083128312,8.162538327557476,8.05640010817305,8.64031904622527,7.558532793493686,8.534497509495388,-0.49786731467936285,-0.10582153672988248
2,1.75,7.013938236974466,8.029300741302952,8.30640010817305,8.873883776264467,7.731609716570609,8.716277480070888,-0.5747903916024404,-0.15760629619357935
2,2.0,6.91778439082062,7.901728218543806,8.55640010817305,9.108321103734552,7.904686639647532,8.901367225297404,-0.651713468525517,-0.2069538784371474
2,2.25,6.821630544666774,7.780099439285772,8.80640010817305,9.34356534642011,8.077763562724455,9.0895645577556,-0.7286365454485946,-0.25400078866451103
2,2.5,6.725476698512927,7.664697367190575,9.05640010817305,9.57955705849228,8.250840485801378,9.280680428697815,-0.8055596223716712,-0.2988766297944654
2,2.75,6.629322852359081,7.555807314646229,9.30640010817305,9.816242330494688,8.423917408878301,9.474538225666864,-0.8824826992947479,-0.34170410482782465
2,3.0,6.533169006205235,7.45371468608135,9.55640010817305,10.053572178339515,8.596994331955225,9.670973061674328,-0.9594057762178245,-0.38259911666518676
2,3.25,6.437015160051389,7.358702403749463,9.80640010817305,10.29150200889884,8.770071255032148,9.869831068951406,-1.0363288531409012,-0.4216709399474343
2,3.5,6.340861313897543,7.271048033976358,10.05640010817305,10.529991151622843,8.943148178109071,10.070968707112856,-1.1132519300639778,-0.4590224445099871
2,3.75,6.278029562222004,7.191020647852071,10.30640010817305,10.76900244717875,9.116225101185993,10.274252092958118,-1.1901750069870562,-0.4947503542206313
2,4.0,6.220337254529697,7.118877467921339,10.55640010817305,11.008501885426028,9.289302024262916,10.479556357005874,-1.267098083910133,-0.5289455284201541
3,-4.0,10.01551106666106,12.071204834194946,2.927542057038764,3.996569664703322,4.989323936243284,6.017227566982423,2.0617818792045206,2.0206579022791007
3,-3.75,9.803972605122599,11.866196719864996,3.1390805185772255,4.157625526904569,5.047016243935592,6.040132599332394,1.9079357253583664,1.882507072427825
3,-3.5,9.594589051156987,11.66294401255438,3.3506189801156867,4.327138888354541,5.104708551627899,6.073250862773793,1.7540895715122127,1.746111974419252
3,-3.25,9.421512128080064,11.461540100938505,3.5621574416541484,4.504154959174013,5.162400859320207,6.116416456295902,1.6002434176660585,1.6122614971218887
3,-3.0,9.24843520500314,11.262084173494033,3.77369590319261,4.687823891038732,5.220093167012515,6.169418488926814,1.4463972638199052,1.4815945978880816
3,-2.75,9.075358281926217,11.064681575911171,3.9852343647310713,4.877394157799347,5.277785474704823,6.232005994555583,1.2925511099737514,1.354611836756236
3,-2.5,8.902281358849296,10.869444181822335,4.196772826269533,5.072204127169654,5.33547778239713,6.303893474737769,1.1387049561275973,1.231689347568115
3,-2.25,8.729204435772372,10.676490774931375,4.408311287807995,5.271672945547603,5.4100646173484614,6.384766805883056,1.0017533295404668,1.1130938603354537
