grid_id,row,column,x,y,z,sionna_rssi_dbm,path_gain_linear
grid-r000-c000,0,0,0.19999980926513672,0.20000028610229492,0.44999998807907104,-39.07455714633042,1.237497372130747e-06
grid-r000-c001,0,1,0.40000009536743164,0.20000028610229492,0.44999998807907104,-38.31268343743581,1.4747949990123743e-06
grid-r000-c002,0,2,0.5999999046325684,0.20000028610229492,0.44999998807907104,-38.27638077892872,1.4871744724587188e-06
grid-r000-c003,0,3,0.7999997138977051,0.20000028610229492,0.44999998807907104,-37.78438700743607,1.6655639001328382e-06
grid-r000-c004,0,4,1.0,0.20000028610229492,0.44999998807907104,-37.47413792619846,1.7889005903271027e-06
grid-r000-c005,0,5,1.1999998092651367,0.20000028610229492,0.44999998807907104,-37.140394867912036,1.9317926671647e-06
grid-r000-c006,0,6,1.4000000953674316,0.20000028610229492,0.44999998807907104,-36.57591248331854,2.199929440394044e-06
grid-r000-c007,0,7,1.5999999046325684,0.20000028610229492,0.44999998807907104,-35.52019944771683,2.8053048026777105e-06
grid-r000-c008,0,8,1.799999713897705,0.20000028610229492,0.44999998807907104,-34.61429001816644,3.455978230704204e-06
grid-r000-c009,0,9,2.0,0.20000028610229492,0.44999998807907104,-32.90965324142219,5.117226919537643e-06
grid-r000-c010,0,10,2.200000047683716,0.20000028610229492,0.44999998807907104,-31.335596883354704,7.352589364018058e-06
grid-r000-c011,0,11,2.3999998569488525,0.20000028610229492,0.44999998807907104,-29.595401983370884,1.0976396879414096e-05
grid-r000-c012,0,12,2.5999999046325684,0.20000028610229492,0.44999998807907104,-28.178140437078525,1.5211987374641467e-05
grid-r000-c013,0,13,2.799999952316284,0.20000028610229492,0.44999998807907104,-27.17443577311432,1.9167100617778488e-05
grid-r000-c014,0,14,3.0,0.20000028610229492,0.44999998807907104,-26.674682960069717,2.1504616597667336e-05
grid-r000-c015,0,15,3.200000047683716,0.20000028610229492,0.44999998807907104,-26.57714613953491,2.199304617533926e-05
grid-r000-c016,0,16,3.3999998569488525,0.20000028610229492,0.44999998807907104,-26.574826365844984,2.2004796846886165e-05
grid-r000-c017,0,17,3.5999999046325684,0.20000028610229492,0.44999998807907104,-26.9490664018496,2.018800296355039e-05
grid-r000-c018,0,18,3.799999952316284,0.20000028610229492,0.44999998807907104,-27.978744444486665,1.5926691048662178e-05
grid-r000-c019,0,19,4.0,0.20000028610229492,0.44999998807907104,-29.555833107924727,1.1076860573666636e-05
