estimator,meters_per_scene_unit,reference_name,predicted_metric_distance_m,target_metric_distance_m,signed_error_m,absolute_error_m,relative_error,absolute_relative_error
arithmetic_mean_of_ratios,1.5427599340486773,two_door_total_width,2.0849752549495575,2.0,0.08497525494955749,0.08497525494955749,0.042487627474778744,0.042487627474778744
arithmetic_mean_of_ratios,1.5427599340486773,door_height,2.1138480071152785,2.2,-0.08615199288472164,0.08615199288472164,-0.03915999676578256,0.03915999676578256
weighted_mean_of_ratios,1.5427599340486773,two_door_total_width,2.0849752549495575,2.0,0.08497525494955749,0.08497525494955749,0.042487627474778744,0.042487627474778744
weighted_mean_of_ratios,1.5427599340486773,door_height,2.1138480071152785,2.2,-0.08615199288472164,0.08615199288472164,-0.03915999676578256,0.03915999676578256
weighted_least_squares,1.5436246231237398,two_door_total_width,2.0861438459175634,2.0,0.08614384591756341,0.08614384591756341,0.043071922958781705,0.043071922958781705
weighted_least_squares,1.5436246231237398,door_height,2.115032780739324,2.2,-0.08496721926067607,0.08496721926067607,-0.0386214633003073,0.0386214633003073
median_of_ratios,1.5427599340486773,two_door_total_width,2.0849752549495575,2.0,0.08497525494955749,0.08497525494955749,0.042487627474778744,0.042487627474778744
median_of_ratios,1.5427599340486773,door_height,2.1138480071152785,2.2,-0.08615199288472164,0.08615199288472164,-0.03915999676578256,0.03915999676578256
