obstacle_id,vertex_index,scene_x,scene_y,scene_z,metric_x_m,metric_y_m,metric_z_m
Wall_01,0,-0.8130658436829041,0.87387063643441,2.6471138523510556,7.145842719,7.574869418999999,0.010000000000000009
Wall_01,1,-1.43867843307687,0.8732880986284137,2.2501175474275366,8.245842719,7.574869418999999,0.010000000000000009
Wall_01,2,0.8288909707621284,1.1796759767263996,-1.3237153353794433,8.245842719,13.874869419,0.010000000000000009
Wall_01,3,1.4545035601560943,1.180258514532396,-0.9267190304559243,7.145842719,13.874869419,0.010000000000000009
Wall_01,4,-0.7441568187360887,-0.8728795439475482,2.541085647579738,7.145842719,7.574869418999999,2.6100000000000003
Wall_01,5,-1.3697694081300547,-0.8734620817535445,2.144089342656219,8.245842719,7.574869418999999,2.6100000000000003
Wall_01,6,0.8977999957089438,-0.5670742036555586,-1.4297435401507617,8.245842719,13.874869419,2.6100000000000003
Wall_01,7,1.5234125851029097,-0.5664916658495621,-1.0327472352272427,7.145842719,13.874869419,2.6100000000000003
Wall_02,0,0.8206544560043538,0.8753918715488016,3.6838272005953243,4.2733104840000005,7.574869418999999,0.010000000000000009
Wall_02,1,0.1950418666103888,0.8748093337428052,3.286830895671806,5.373310484,7.574869418999999,0.010000000000000009
Wall_02,2,2.462611270449387,1.1811972118407912,-0.28700198713517366,5.373310484,13.874869419,0.010000000000000009
Wall_02,3,3.0882238598433522,1.1817797496467874,0.10999431778834534,4.2733104840000005,13.874869419,0.010000000000000009
Wall_02,4,0.8895634809511692,-0.8713583088331566,3.577798995824007,4.2733104840000005,7.574869418999999,2.6100000000000003
Wall_02,5,0.26395089155720425,-0.8719408466391528,3.1808026909004887,5.373310484,7.574869418999999,2.6100000000000003
Wall_02,6,2.531520295396203,-0.565552968541167,-0.393030191906492,5.373310484,13.874869419,2.6100000000000003
Wall_02,7,3.157132884790168,-0.5649704307351707,0.003966113017026984,4.2733104840000005,13.874869419,2.6100000000000003
Wall_03,0,-0.0721085590530417,0.8600712231192194,3.356007979820914,5.6531770120000004,7.274869419,0.010000000000000009
Wall_03,1,0.32381625749027537,0.9135675192950581,2.732005412981601,5.6531770120000004,8.374869419,0.010000000000000009
Wall_03,2,3.395005332697015,0.9164272503426766,4.680896364424329,0.25317701199999965,8.374869419,0.010000000000000009
Wall_03,3,2.9990805161536978,0.8629309541668377,5.304898931263642,0.25317701199999965,7.274869419,0.010000000000000009
