obstacle_id,vertex_index,x_m,y_m,z_m
Wall_01,0,7.145842719,7.574869418999999,0.010000000000000009
Wall_01,1,8.245842719,7.574869418999999,0.010000000000000009
Wall_01,2,8.245842719,13.874869419,0.010000000000000009
Wall_01,3,7.145842719,13.874869419,0.010000000000000009
Wall_01,4,7.145842719,7.574869418999999,2.6100000000000003
Wall_01,5,8.245842719,7.574869418999999,2.6100000000000003
Wall_01,6,8.245842719,13.874869419,2.6100000000000003
Wall_01,7,7.145842719,13.874869419,2.6100000000000003
Wall_02,0,4.2733104840000005,7.574869418999999,0.010000000000000009
Wall_02,1,5.373310484,7.574869418999999,0.010000000000000009
Wall_02,2,5.373310484,13.874869419,0.010000000000000009
Wall_02,3,4.2733104840000005,13.874869419,0.010000000000000009
Wall_02,4,4.2733104840000005,7.574869418999999,2.6100000000000003
Wall_02,5,5.373310484,7.574869418999999,2.6100000000000003
Wall_02,6,5.373310484,13.874869419,2.6100000000000003
Wall_02,7,4.2733104840000005,13.874869419,2.6100000000000003
Wall_03,0,5.6531770120000004,7.274869419,0.010000000000000009
Wall_03,1,5.6531770120000004,8.374869419,0.010000000000000009
Wall_03,2,0.25317701199999965,8.374869419,0.010000000000000009
Wall_03,3,0.25317701199999965,7.274869419,0.010000000000000009
Wall_03,4,5.6531770120000004,7.274869419,2.6100000000000003
Wall_03,5,5.6531770120000004,8.374869419,2.6100000000000003
Wall_03,6,0.25317701199999965,8.374869419,2.6100000000000003
Wall_03,7,0.25317701199999965,7.274869419,2.6100000000000003
Wall_04,0,5.346920695,12.704869419,0.010000000000000009
Wall_04,1,5.346920695,13.804869419000001,0.010000000000000009
Wall_04,2,3.2969206950000003,13.804869419000001,0.010000000000000009
Wall_04,3,3.2969206950000003,12.704869419,0.010000000000000009
Wall_04,4,5.346920695,12.704869419,2.6100000000000003
Wall_04,5,5.346920695,13.804869419000001,2.6100000000000003
Wall_04,6,3.2969206950000003,13.804869419000001,2.6100000000000003
Wall_04,7,3.2969206950000003,12.704869419,2.6100000000000003
door_02,0,0.019190885999999997,0.724869419,0.0
door_02,1,0.06919088600000001,0.724869419,0.0
door_02,2,0.06919088600000001,1.624869419,0.0
door_02,3,0.019190885999999997,1.624869419,0.0
door_02,4,0.019190885999999997,0.724869419,2.0
door_02,5,0.06919088600000001,0.724869419,2.0
door_02,6,0.06919088600000001,1.624869419,2.0
door_02,7,0.019190885999999997,1.624869419,2.0
door_01,0,0.019190885999999997,6.274869419,0.0
door_01,1,0.06919088600000001,6.274869419,0.0
door_01,2,0.06919088600000001,7.174869419,0.0
door_01,3,0.019190885999999997,7.174869419,0.0
door_01,4,0.019190885999999997,6.274869419,2.0
door_01,5,0.06919088600000001,6.274869419,2.0
door_01,6,0.06919088600000001,7.174869419,2.0
door_01,7,0.019190885999999997,7.174869419,2.0
door_03,0,11.719190886,8.049869419,0.010000000000000009
door_03,1,11.769190886,8.049869419,0.010000000000000009
door_03,2,11.769190886,10.199869418999999,0.010000000000000009
door_03,3,11.719190886,10.199869418999999,0.010000000000000009
door_03,4,11.719190886,8.049869419,2.01
door_03,5,11.769190886,8.049869419,2.01
door_03,6,11.769190886,10.199869418999999,2.01
door_03,7,11.719190886,10.199869418999999,2.01
door_04,0,11.719190886,11.049869419,0.010000000000000009
door_04,1,11.769190886,11.049869419,0.010000000000000009
door_04,2,11.769190886,13.199869418999999,0.010000000000000009
door_04,3,11.719190886,13.199869418999999,0.010000000000000009
door_04,4,11.719190886,11.049869419,2.01
door_04,5,11.769190886,11.049869419,2.01
door_04,6,11.769190886,13.199869418999999,2.01
door_04,7,11.719190886,13.199869418999999,2.01
window_01,0,10.114190886,0.04986941899999997,0.010000000000000009
window_01,1,10.114190886,0.09986941899999997,0.010000000000000009
window_01,2,9.034190886000001,0.09986941900000004,0.010000000000000009
window_01,3,9.034190886000001,0.04986941900000004,0.010000000000000009
window_01,4,10.114190886,0.04986941899999997,2.5700000000000003
window_01,5,10.114190886,0.09986941899999997,2.5700000000000003
window_01,6,9.034190886000001,0.09986941900000004,2.5700000000000003
